cleaned_tweet,sentiment,predicted_sentiment,vader_score
She won't if she found Tesla spacex PayPal boring etc,neutral,negative,-0.3182
"Looks like Tesla investors are losing faith. Can you imagine if you had bought it at $1,243.49 a year ago? Wonder what the short position is on it.  TSLA: $704.7815  Down -47.5085 (-6.32%). 52 wk high $1,243.49. Yikes.",negative,positive,0.4019
"Musk asked Gates: ""Do you still have a $500 million short position in Tesla?"" Gates replied: ""Sadly, I haven't sold it yet.",neutral,negative,0.0
So are good parents,neutral,positive,0.4902
You are right sir,neutral,negative,0.0
"Exactly, give zero ***** about Twitter and care more of the ramping of Tesla's products.",neutral,positive,0.4939
You can tow a camper?,neutral,negative,0.0
"Yo, Baby number 6 arrived this weekend. Large capacity family Tesla in the future?",neutral,negative,0.0772
"So, yeah, bottomline,  if you think Tesla is no more than just a car company or putting a low possibility on that, and that you believe teslas are just cara with an electric drive train and not a computer on wheels will be your undoing.",neutral,negative,-0.204
"OK, so  decided to surrender to . Same goes with   Only  and copycat  are in the battle.",neutral,negative,0.0857
the children dudes is really good,neutral,positive,0.4927
That makes me horny:,neutral,negative,0.0
Fort Erie bound Off-ramp at Nikola Tesla SB due to a collision.,neutral,negative,-0.3612
Yeah prices up a tad,neutral,negative,0.296
"If everyone would use auto drive there would be a lot less accidents. Those that do happen will look weird and different though, so we feel outrage at the stupid automation. No fan of Tesla nor Musk but computers are just TT better at most things.",positive,negative,-0.1117
"Lol, they should sue him into submission. Who cares about discovery?  At the end of the day a billion people will still use Twitter, and they'll use it to discuss cratering Tesla stock",negative,positive,0.7003
Bet on people ... Elon and Tesla will make it happen.,negative,positive,0.0
above 5m good start. if you mean real whale as microstrategy/tesla in BTC governing councils/ atleast 1-2Billion pcs,negative,positive,0.4404
Was driving a Tesla (rented on Turo) and got passed by a truly autonomous (no driver) Cruise car. I’m buying a horse tomorrow.,neutral,positive,0.4404
Tesla was the main man when talking about electric energy,positive,negative,0.2732
What's the good word on  10.13? Looking forward to seeing more confidence in areas where it previously struggled due to inaccurate map data.,negative,positive,0.624
Looks like we’re finalizing the sale of our 2nd car this week and turning in the Tesla (hopefully) soon! Our next car will NOT be a Tesla. Can’t wait!,negative,positive,0.4738
tesla stock,negative,neutral,0.0
"compuware , little caesar , honey baked ham - back elite hockey program - tesla titan spaceex ice rocket ? ! ? ! ?",negative,neutral,0.0
"tesla screw customer # # tesla # cleanpower # climatechanges # electric [ video ] : tesla screw customer , loyal call best car company world , ...",negative,positive,0.7579
would cut month ago twitter . without twitter tesla never would $ 100 stock . ’ coming .,neutral,negative,-0.2732
didnt call liar . extremely unclear purchased whether transfered university plan building anything . definitely believe someone 500 acre somewhere east tesla factory .,negative,positive,0.4782
elon 's bizarre twitter takeover saga could cover sell $ 8.5 billion tesla stock | fortune,neutral,negative,-0.3182
"apple tesla 's biggest manufacturing base china supply chain also heavily rely chinese supplier ? n't know , google apple 's supplier list .",neutral,negative,0.0
"correct . morgan found energy generated would free , blew temper , & amp ; warned rich friend never ever invest tesla",negative,positive,0.8074
share gon na tumble around 8 hour .,neutral,negative,0.296
go look influence uber high level government official tell straight face tesla n't pull similar game keep regulator away b self-driving tech .,neutral,negative,0.2263
". fsd allows focus macro component driving . manual driving exhausting also focus micro component ( staying centered lane small steering wheel movement , accelerating smoothly pedal push , etc )",neutral,negative,-0.3612
"tesla screw customer n't enough supercharger station yet tesla make accessible ev owner , tesla owner .",negative,neutral,-0.1027
twitter hire legal firm sue elon musk pulling $ 44b deal read : # twitterdeal # oped # opedmoped,neutral,negative,0.128
"think ’ considered following year delivery august year , ’ good !",neutral,positive,0.4926
feeling employer force commute # tesla ...,negative,neutral,0.128
